================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۷۲۸_۲۰۰۰۲۵.wav
Language    : fa
Total Segs  : 3274
================================================================================

[00:00:00.000 --> 00:00:30.000]  باید بردارو بیمار در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، در مطب پزشکی، د
[00:00:30.000 --> 00:00:32.000]  برنامه ای از اینجا باید برداریم
[00:00:32.000 --> 00:00:34.000]  باید برداریم
[00:00:34.000 --> 00:00:36.000]  باید برداریم
[00:00:36.000 --> 00:00:38.000]  باید برداریم
[00:00:38.000 --> 00:00:40.000]  برداریم
[00:00:40.000 --> 00:00:42.000]  برداریم
[00:00:42.000 --> 00:00:44.000]  برداریم
[00:00:44.000 --> 00:00:46.000]  برداریم
[00:00:46.000 --> 00:00:48.000]  برداریم
[00:00:48.000 --> 00:00:50.000]  برداریم
[00:00:50.000 --> 00:00:52.000]  برداریم
[00:00:52.000 --> 00:00:54.000]  برداریم
[00:00:54.000 --> 00:00:56.000]  برداریم
[00:00:56.000 --> 00:00:58.000]  برداریم
[00:00:58.000 --> 00:01:03.000]  موسیقی
[00:01:28.000 --> 00:01:35.000]  هم شیر شهزاد کمریکلیتی هستید و درخواهدش کنستران درخواهدش علمی هم موجود دارند
[00:01:35.000 --> 00:01:42.000]  سپنبرو بانی یوانه ناسف کافاون و ای آر ای فوتوری تا دیگه هم درخواهدش موجود هستند
[00:01:42.000 --> 00:01:52.000]  سری نیاز شد و مدن شیرهای پاکتی که مرسی دهداش میدن هم توی بیشتر داخلش اکنون داشته شد
[00:01:52.000 --> 00:01:57.000]  برد نده دستتون درد نکنه ممنون سفر خدا فیلم
[00:02:02.000 --> 00:02:06.000]  بپنید سلامتا چون خوبه در رو بیزن بگیرم
[00:02:11.000 --> 00:02:14.000]  اون برگیر رو بیزن بگیرم
[00:02:22.000 --> 00:02:30.000]  موسیقی
[00:02:52.000 --> 00:02:55.000]  از که متایش رو دیدرد شده به تحقیق
[00:02:55.000 --> 00:02:58.000]  دو سه روزه شده
[00:02:58.000 --> 00:03:02.000]  تو همونی برداشتی؟
[00:03:02.000 --> 00:03:18.000]  موسیقی
[00:03:18.000 --> 00:03:21.000]  این بزن از درد شده
[00:03:21.000 --> 00:03:26.000]  این گروه خونی که اون خویه اگر آقایی این طریقه او باشه فراموش سازگار نیست
[00:03:26.000 --> 00:03:31.000]  یعنی ناسازگاری گروه خونی دارید او با گروه های دیگه
[00:03:31.000 --> 00:03:36.000]  این طرف به خشار زردی میشن بچه ها رو سرعتشون همین
[00:03:36.000 --> 00:03:40.000]  توی درمیزه خشار میدم زردیشون متاییده
[00:03:40.000 --> 00:03:44.000]  بعد تا سرس بالا روندهه
[00:03:44.000 --> 00:03:47.000]  پس باید تا یک مامی رو نگرم نباشید
[00:03:47.000 --> 00:03:49.000]  یا یک چیز
[00:03:49.000 --> 00:03:52.000]  فقط باید درمانش رو به صورت ایسترسیتی بگیرده
[00:03:52.000 --> 00:03:54.000]  بعد دستگاه ببرید
[00:03:54.000 --> 00:03:55.000]  خب؟
[00:03:55.000 --> 00:03:56.000]  نه
[00:03:56.000 --> 00:03:58.000]  یه خورسی هم نیستم برای
[00:03:58.000 --> 00:03:59.000]  نه
[00:03:59.000 --> 00:04:02.000]  بعد دستگاه ببرید، خوبم استفاده کنید
[00:04:02.000 --> 00:04:04.000]  دستگاه ببرید
[00:04:06.000 --> 00:04:07.000]  خب
[00:04:07.000 --> 00:04:09.000]  خانم گمجی
[00:04:09.000 --> 00:04:11.000]  دستگاه رو ببینید
[00:04:11.000 --> 00:04:13.000]  دستگاه رو ببینید
[00:04:13.000 --> 00:04:15.000]  دستگاه رو ببینید
[00:04:15.000 --> 00:04:17.000]  دستگاه رو ببینید
[00:04:17.000 --> 00:04:19.000]  دستگاه رو ببینید
[00:04:19.000 --> 00:04:21.000]  دستگاه رو ببینید
[00:04:21.000 --> 00:04:23.000]  دستگاه رو ببینید
[00:04:23.000 --> 00:04:25.000]  دستگاه رو ببینید
[00:04:25.000 --> 00:04:27.000]  دستگاه رو ببینید
[00:04:27.000 --> 00:04:29.000]  دستگاه رو ببینید
[00:04:29.000 --> 00:04:31.000]  دستگاه رو ببینید
[00:04:31.000 --> 00:04:33.000]  دستگاه رو ببینید
[00:04:33.000 --> 00:04:35.000]  دستگاه رو ببینید
[00:04:35.000 --> 00:04:37.000]  دستگاه رو ببینید
[00:04:37.000 --> 00:04:39.000]  مردم مردم
[00:04:50.000 --> 00:04:52.000]  بفهمید سال آخر جمعه خوده
[00:04:52.000 --> 00:04:54.000]  سال آخر بشین بفهمید پیشیم بخونم
[00:04:54.000 --> 00:04:56.000]  برم داریم؟ آی رو بیت
[00:04:56.000 --> 00:04:58.000]  آی رو بیت ملک و دومان شده
[00:04:58.000 --> 00:05:00.000]  مردم بچه ها
[00:05:00.000 --> 00:05:30.000]  این ترکیبات از آخن و آخن با این موضوع نمی کنه، ترکیبات از آخن و آخن با این موضوع نمی کنه، ترکیبات از آخن و آخن با این موضوع نمی کنه، ترکیبات از آخن و آخن با این موضوع نمی کنه، ترکیبات از آخن و آخن با این موضوع نمی کنه، ترکیبات از آخن و آخن با این موضوع نمی کنه، ترکیبات از آخن با این موضوع نمی کنه، ترکیبات از آخن با این
[00:05:30.000 --> 00:05:32.000]  باشید ریسید کنن
[00:05:32.000 --> 00:05:34.000]  قیمت چنده؟
[00:05:34.000 --> 00:05:36.000]  ۴۰۰۰
[00:05:36.000 --> 00:05:40.000]  تمام دیگر بزرگ مالا دقیقا ۱۰۰۰
[00:05:40.000 --> 00:05:42.000]  مردم رو بردارید
[00:05:42.000 --> 00:05:44.000]  این روز چیشه؟
[00:05:44.000 --> 00:05:46.000]  مردم رو بردارید
[00:05:46.000 --> 00:05:48.000]  خواهش میکنم در خدمت هستم
[00:05:48.000 --> 00:05:50.000]  خواهش میکنم در خدمت هستم
