================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS (REFINED)
Source File : Session_Full_۲۰۲۶۰۸۲۲_۱۸۰۰۵۶.wav
Total Segs  : 2068
================================================================================

[00:00:00.000 --> 00:00:34.000]  سلام، روزتون بخیر. حال شما چطوره؟
[00:00:34.000 --> 00:00:34.500]  بفرمایید؟
[00:00:34.500 --> 00:00:35.660]  سلام، روز شما بخیر.
[00:00:35.660 --> 00:00:36.660]  خوبی؟ نه، راضی هست.
[00:00:36.660 --> 00:00:37.160]  بفرمایید؟
[00:00:37.160 --> 00:00:37.660]  بفرمایید؟
[00:00:37.660 --> 00:00:39.660]  اما پیرو به فرمایشتون که گفتی شب،
[00:00:39.660 --> 00:00:45.340]  شب اینو فقط پیامک کن برای من که برنامه‌ها و ساعتشون چی هست و من در جریان قرار بگیرم. شب...
[00:00:45.340 --> 00:00:47.000]  باشه، من الان توی مطب هستم.
[00:00:47.000 --> 00:00:52.340]  بازداشت شده باشه. هر موقع پیگیری کردی من پیگیری رو جواب می‌دم. چشم، ممنون میشم.
[00:02:20.340 --> 00:02:50.340]  [سکوت / نویز پس‌زمینه]
[00:02:50.340 --> 00:03:20.320]  پیگیری کنید.
[00:03:40.340 --> 00:04:40.320]  درسته.
[00:06:10.000 --> 00:07:09.980]  درسته.
[00:08:21.000 --> 00:08:29.000]  سلام.
[00:08:33.000 --> 00:08:37.000]  همین جور باید بگویم، برای دوست داریم.
[00:09:21.000 --> 00:09:29.000]  برنامه‌ای از اینجا باید برداریم.
[00:09:49.000 --> 00:09:51.000]  این مسئله تا اینجا چیز...
[00:09:51.000 --> 00:09:56.600]  حالا هیئت رئیسه مجمع که دکتر رادپور و اون دو تا نوشته اینا،
[00:09:56.600 --> 00:10:00.000]  ما مشکل نداریم اینا امضا کردن، خب.
[00:10:00.000 --> 00:10:11.000]  تو قبول سمت هم از اون هفت نفر، چهار نفر قبول سمت رو قبول کردن. فقط دو تا اصلی و یه علی‌البدل قبول سمت رو...
[00:10:11.000 --> 00:10:14.000]  آهان، پس اونو سه‌شنبه اوکی نشد مگه؟
[00:10:14.000 --> 00:10:21.000]  نه، این‌ها باز از یک جای دیگه باز یه داستان دیگه شروع کردن. هیچ، هیچ. آره، اینو طولش...
[00:10:21.000 --> 00:10:22.000]  حالا من...
[00:10:22.000 --> 00:10:36.920]  حالا من وضعیت موجودم دارم می‌گم. من این‌جوری که خوندم این‌ها الان نمی‌بینم درست می‌گم؛ یعنی کسایی که قبول سمت نکنن علی‌البدل میاد جاش و ما دوباره مجمع تشکیل بدیم و جایگزین به این‌ها الحاق کنیم.
[00:10:36.920 --> 00:10:39.520]  خب همین دیگه، الان کی جایگزین بذاریم؟
[00:10:39.520 --> 00:10:45.000]  جایگزین الان باید مجمع تشکیل داده بشه، این‌ها ما دوباره باید به روزنامه آگهی کنیم دیگه.
[00:10:45.000 --> 00:10:49.220]  دقیقاً، دوباره باید مجمع بذاریم که دوباره ما انتخاب مدیران داریم.
[00:10:49.220 --> 00:10:54.560]  و تا موقعی هم که فکر کنم همه جور بشه، ما می‌تونیم ثبت کنیم یا نه، ممکن نیست؟
