================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۲۳_۱۸۰۰۳۴.wav
Language    : fa
Total Segs  : 6093
================================================================================

[00:00:00.000 --> 00:00:29.980]  موسیقی در مطب پزشکی
[00:00:30.000 --> 00:00:58.000]  موسیقی
[00:01:00.000 --> 00:01:10.000]  موسیقی
[00:01:30.000 --> 00:01:40.000]  موسیقی
[00:02:00.000 --> 00:02:20.000]  موسیقی
[00:02:20.000 --> 00:02:40.000]  موسیقی
[00:02:40.000 --> 00:03:06.000]  موسیقی
[00:03:06.000 --> 00:03:34.000]  موسیقی
[00:03:36.000 --> 00:03:46.000]  موسیقی
[00:04:06.000 --> 00:04:35.980]  موسیقی در موسیقی
[00:04:36.000 --> 00:05:00.000]  موسیقی
[00:05:00.000 --> 00:05:29.980]  بیمار بیمار در مطب پزشکی، داروها، آزمایش و نسخه.
[00:05:30.000 --> 00:05:59.980]  موسیقی در موسیقی
[00:06:00.000 --> 00:06:28.000]  موسیقی
[00:06:30.000 --> 00:06:40.000]  موسیقی
[00:07:00.000 --> 00:07:20.000]  موسیقی
[00:07:20.000 --> 00:07:30.000]  موسیقی
[00:07:50.000 --> 00:08:18.000]  موسیقی
[00:08:20.000 --> 00:08:30.000]  موسیقی
[00:08:50.000 --> 00:09:19.980]  موسیقی در موسیقی
[00:09:20.000 --> 00:09:48.000]  موسیقی
[00:09:50.000 --> 00:10:00.000]  موسیقی
[00:10:00.000 --> 00:10:29.980]  موسیقی در مطب پزشکی
[00:11:00.000 --> 00:11:29.980]  موسیقی در موسیقی
[00:11:30.000 --> 00:11:59.000]  موسیقی
[00:12:00.000 --> 00:12:17.000]  موسیقی
[00:12:17.000 --> 00:12:47.000]  اینو هر شب یکی بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیشتر بیش
[00:12:47.000 --> 00:12:54.900]  با شکرم خوب بخورن اینجا بابا جان باشه
[00:12:54.900 --> 00:13:01.000]  این صبح نصف
[00:13:02.320 --> 00:13:04.280]  کامل نخوریش بابا جان
[00:13:04.280 --> 00:13:05.000]  مومت بخوریش
[00:13:05.740 --> 00:13:07.780]  اشارت مدناده ادار زیاد بکنی
[00:13:07.780 --> 00:13:09.000]  حال فرد میشه باشه
[00:13:09.720 --> 00:13:11.500]  آن پونم جایی
[00:13:11.500 --> 00:13:13.000]  داخل استانی باشه
[00:13:13.000 --> 00:13:14.440]  جا
[00:13:14.440 --> 00:13:24.440]  اگر می بینید گرمتون اتاق بود و یه نیم ست دیگه برقا مادن اشکال نداره؟
[00:13:24.440 --> 00:13:25.440]  نه
[00:13:25.440 --> 00:13:26.440]  اگر به گرمی تارن داری بابی؟
[00:13:26.440 --> 00:13:27.440]  نه
[00:13:27.440 --> 00:13:30.440]  حالا اینجا هم زیاد آشده هستون دیگه
[00:13:30.440 --> 00:13:33.440]  پنجره باز کن
[00:13:33.440 --> 00:13:34.440]  باز کن
[00:13:34.440 --> 00:13:35.440]  باز کن
[00:13:35.440 --> 00:13:36.440]  پنجره
[00:13:36.440 --> 00:13:37.440]  باز کن
[00:13:37.440 --> 00:13:38.440]  باز کن
[00:13:38.440 --> 00:13:39.440]  باز کن
[00:13:39.440 --> 00:13:40.440]  باز کن
[00:13:40.440 --> 00:13:41.440]  باز کن
[00:13:41.440 --> 00:13:42.440]  باز کن
[00:13:42.440 --> 00:13:43.440]  باز کن
[00:13:43.440 --> 00:14:11.440]  موسیقی
[00:14:13.440 --> 00:14:43.440]  اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا بردارید که اینجا برد
[00:14:43.440 --> 00:14:45.440]  از اینجا باید بردارید که باید بردارید بخورید
[00:14:45.440 --> 00:14:47.440]  اما اینجا برای خاندان از اینجا بردارید که بردارید بخورید
[00:14:47.440 --> 00:14:49.440]  اما اینجا برای خاندان از اینجا بردارید که بردارید بخورید
[00:14:49.440 --> 00:14:51.440]  اما اینجا برای خاندان از اینجا بردارید که بردارید بخورید
[00:15:00.000 --> 00:15:02.000]  بیشتر
[00:15:30.000 --> 00:15:58.000]  موسیقی
[00:16:58.000 --> 00:17:26.000]  موسیقی
[00:17:28.000 --> 00:17:48.000]  موسیقی
[00:17:58.000 --> 00:18:18.000]  موسیقی
[00:18:28.000 --> 00:18:57.980]  موسیقی در موسیقی
[00:18:58.000 --> 00:19:18.000]  موسیقی
[00:19:18.000 --> 00:19:46.000]  موسیقی
[00:19:48.000 --> 00:20:00.000]  موسیقی
[00:20:00.000 --> 00:20:10.000]  موسیقی
[00:20:30.000 --> 00:20:40.000]  موسیقی
[00:21:00.000 --> 00:21:28.000]  موسیقی
[00:21:30.000 --> 00:21:58.000]  موسیقی
[00:22:00.000 --> 00:22:28.000]  موسیقی
[00:22:28.000 --> 00:22:30.000]  از اینکه مادر بخوند گره در اینجا بود
[00:22:33.500 --> 00:22:35.500]  کاریده پرسند به یکی کنید
[00:22:39.760 --> 00:22:48.000]  توی دیو مازالو برای گره لباس به هیترون کنید بقیه چشمان دیگر کنید
[00:22:48.000 --> 00:22:50.000]  باید که چشمان نگید
[00:22:58.000 --> 00:23:18.000]  موسیقی
