================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۱۷_۱۳۰۰۰۰.wav
Language    : fa
Total Segs  : 2656
================================================================================

[00:00:00.000 --> 00:00:30.000]  باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید برد
[00:00:30.000 --> 00:00:59.980]  مردم در اینجا
[00:01:00.000 --> 00:01:20.000]  موسیقی
[00:01:20.000 --> 00:01:22.000]  با همه چیزی.
[00:01:22.000 --> 00:01:24.000]  با همه چیزی.
[00:01:24.000 --> 00:01:26.000]  خیلی خوب.
[00:01:26.000 --> 00:01:28.000]  این نیست نه؟
[00:01:28.000 --> 00:01:30.000]  این براشه.
[00:01:30.000 --> 00:01:32.000]  این براشه.
[00:01:32.000 --> 00:01:34.000]  این نیست نه؟
[00:01:34.000 --> 00:01:36.000]  این براشه.
[00:01:36.000 --> 00:01:38.000]  این براشه.
[00:01:38.000 --> 00:01:40.000]  این براشه.
[00:01:40.000 --> 00:01:42.000]  این براشه.
[00:01:42.000 --> 00:01:44.000]  این براشه.
[00:01:44.000 --> 00:01:46.000]  این براشه.
[00:01:46.000 --> 00:01:48.000]  این براشه.
[00:01:48.000 --> 00:01:50.000]  مردم باید بردارید.
[00:01:50.000 --> 00:01:52.000]  باید بردارید.
[00:01:52.000 --> 00:01:54.000]  باید بردارید.
[00:01:54.000 --> 00:01:56.000]  باید بردارید.
[00:01:56.000 --> 00:01:58.000]  باید بردارید.
[00:01:58.000 --> 00:02:00.000]  باید بردارید.
[00:02:00.000 --> 00:02:02.000]  باید بردارید.
[00:02:02.000 --> 00:02:04.000]  باید بردارید.
[00:02:04.000 --> 00:02:06.000]  باید بردارید.
[00:02:06.000 --> 00:02:08.000]  باید بردارید.
[00:02:08.000 --> 00:02:10.000]  باید بردارید.
[00:02:10.000 --> 00:02:12.000]  باید بردارید.
[00:02:12.000 --> 00:02:14.000]  باید بردارید.
[00:02:14.000 --> 00:02:16.000]  باید بردارید.
[00:02:16.000 --> 00:02:18.000]  مردم
[00:02:18.000 --> 00:02:20.000]  مردم
[00:02:20.000 --> 00:02:22.000]  مردم
[00:02:22.000 --> 00:02:24.000]  مردم
[00:02:24.000 --> 00:02:26.000]  مردم
[00:02:26.000 --> 00:02:28.000]  مردم
[00:02:28.000 --> 00:02:30.000]  مردم
