================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS (REFINED)
Source File : Session_Full_۲۰۲۶۰۸۱۵_۱۳۰۰۲۶.wav
Total Segs  : 877
================================================================================

[01:01:00.000 --> 01:01:06.080]  با نشانی ebu.inau.ac.ir برای انتخاب واحد اقدام کنند. ورودی‌های ۴۰۲ نوبت اول از ساعت ۸ تا ۱۱:۳۰، ورودی‌های ۱۴۰۳ نوبت دوم از ساعت ۱۱:۱۵ تا ۱۳:۳۰، ورودی‌های ۱۴۰۴ نوبت سوم از ساعت ۱۶ تا ۲۰ می‌توانند اقدام به انتخاب واحد کنند. انتخاب واحد دوستان تهران در تاریخ‌های بیست و هشتم، بیست و نهم، سی‌ام و سی‌ویکم مرداد و یکم شهریور انجام می‌شود.
[01:01:10.080 --> 01:01:28.580]  معاون آموزش ابتدایی وزارت آموزش و پرورش گفت: از یک میلیون و صدوپنجاه‌وچهار هزار ثبت‌نام، بیش از نودويک درصد با سامانه بینا قطعی شده است. با تلاش همکاران، امسال ثبت‌نام با سهولت بیشتری نسبت به قبل انجام شده است.
[01:01:34.580 --> 01:01:52.540]  پایداری و ایستادگی محکوم‌ناپذیر ایران به شب صدوشصتم هفته اون رسید. شب‌ها هم‌زمان شهرهای مختلف کشور شاهد حضور مردمی بود که در طول این مدت به جلوه‌ای از استکبارستیزی، مقاومت و ایستادگی ملت ایران بدل شده و نقشه‌های دشمن را بر آب کرده‌اند.
[01:01:52.540 --> 01:02:02.400]  مردم که سهمی در امنیت ملی دارند...
[01:02:02.400 --> 01:02:05.380]  همون‌طوری که الان نیروی نظامی ما توی تنگه هرمز هستند،
[01:02:06.060 --> 01:02:09.600]  مردم هم به پشتوانه اون‌ها الان توی میدان هستند.
[01:02:14.380 --> 01:02:33.880]  اما حکمت ایران در مواجهه با فشارهای دشمنان چیه؟ همین وحدت ملت عزیزمون و پایبندی به اصول و ارزش‌های نظام مقدس جمهوری اسلامی داریم. فردا روزی بخواید به بچه‌تون توضیح بدید که چرا از وطن دفاع کردید، چی می‌گید؟ به خاطر خواهش وطنم.
[01:02:33.880 --> 01:02:38.660]  همینطور فرمودند، وطن منه. پیام مقام معظم رهبری چیه؟
[01:02:38.660 --> 01:02:41.880]  نیروی مسلح ما تو جبهه‌ها کارشون رو انجام می‌دن.
[01:02:41.880 --> 01:02:47.680]  ما تو دفاع‌هوایی، تحصیل‌کرده تو دانشگاه، یه نمونه از چیزی که از دانشگاه در مقابل ایرانی‌ها رو می‌تونیم ببینیم.
[01:02:47.680 --> 01:02:53.940]  این که سربازان آمریکایی اثر فشار جنگ با ایران خودشون رو به دریا پرتاب کردند.
[01:02:53.940 --> 01:03:01.400]  اگر دشمن تا به امروز نتونسته به این کشور نفوذ پیدا کنه و مأیوس شده، به خاطر همه وفاقی که داریم.
[01:03:01.400 --> 01:03:14.200]  نشناختن مردم ایران، هرچقدر به مردم ایران فشار بیاد، محکم‌تر می‌شن.
[01:03:14.200 --> 01:03:19.020]  دشمن روی فشار اقتصادی بیشتر حساب باز کرده یا روی اختلاف بین مردم؟
[01:03:19.020 --> 01:03:21.720]  روی اختلاف، روی تفرقه.
