================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۳۱_۱۸۰۰۳۶.wav
Language    : fa
Total Segs  : 2576
================================================================================

[00:00:00.000 --> 00:00:29.980]  موسیقی در مطب پزشکی
[00:00:30.000 --> 00:00:40.000]  موسیقی
[00:01:00.000 --> 00:01:29.980]  موسیقی در موسیقی
[00:01:30.000 --> 00:01:50.000]  موسیقی
[00:01:50.000 --> 00:02:10.000]  موسیقی
[00:02:10.000 --> 00:02:39.980]  موسیقی در موسیقی
[00:02:40.000 --> 00:03:04.000]  موسیقی
[00:03:10.000 --> 00:03:20.000]  موسیقی
[00:03:40.000 --> 00:03:42.000]  اوی همون برنامه دارید
[00:03:42.000 --> 00:03:44.000]  اوی همون برنامه دارید
[00:03:44.000 --> 00:03:46.000]  اوی همون برنامه دارید
[00:03:46.000 --> 00:03:48.000]  اوی همون برنامه دارید
[00:03:48.000 --> 00:03:50.000]  اوی همون برنامه دارید
[00:03:50.000 --> 00:03:52.000]  اوی همون برنامه دارید
[00:03:52.000 --> 00:03:54.000]  اوی همون برنامه دارید
[00:03:54.000 --> 00:03:56.000]  اوی همون برنامه دارید
[00:03:56.000 --> 00:03:58.000]  اوی همون برنامه دارید
[00:03:58.000 --> 00:04:00.000]  اوی همون برنامه دارید
[00:04:00.000 --> 00:04:02.000]  اوی همون برنامه دارید
[00:04:02.000 --> 00:04:04.000]  اوی همون برنامه دارید
[00:04:04.000 --> 00:04:06.000]  اوی همون برنامه دارید
[00:04:06.000 --> 00:04:34.000]  موسیقی
[00:04:36.000 --> 00:05:00.000]  موسیقی
[00:05:00.000 --> 00:05:30.000]  باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید برد
[00:05:30.000 --> 00:05:50.000]  موسیقی
[00:05:50.000 --> 00:06:19.980]  موسیقی در موسیقی
[00:06:20.000 --> 00:06:40.000]  موسیقی
[00:06:40.000 --> 00:07:04.000]  موسیقی
[00:07:04.000 --> 00:07:06.000]  از اینجا باید برگردید.
[00:07:06.000 --> 00:07:08.000]  اینجا باید برگردید.
[00:07:08.000 --> 00:07:10.000]  اینجا باید برگردید.
[00:07:10.000 --> 00:07:12.000]  اینجا باید برگردید.
[00:07:12.000 --> 00:07:14.000]  اینجا باید برگردید.
[00:07:14.000 --> 00:07:16.000]  اینجا باید برگردید.
[00:07:16.000 --> 00:07:18.000]  اینجا باید برگردید.
[00:07:18.000 --> 00:07:20.000]  اینجا باید برگردید.
[00:07:20.000 --> 00:07:22.000]  اینجا باید برگردید.
[00:07:22.000 --> 00:07:24.000]  اینجا باید برگردید.
[00:07:24.000 --> 00:07:26.000]  اینجا باید برگردید.
[00:07:26.000 --> 00:07:28.000]  اینجا باید برگردید.
[00:07:28.000 --> 00:07:58.000]  اینجا باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که باید بردارید که بای
[00:08:28.000 --> 00:08:38.000]  موسیقی
[00:08:58.000 --> 00:09:18.000]  موسیقی
[00:09:18.000 --> 00:09:47.980]  موسیقی در موسیقی
[00:09:48.000 --> 00:10:00.000]  موسیقی
[00:10:00.000 --> 00:10:20.000]  موسیقی
[00:10:30.000 --> 00:10:59.980]  موسیقی در موسیقی
[00:11:00.000 --> 00:11:28.000]  موسیقی
[00:11:30.000 --> 00:11:58.000]  موسیقی
[00:11:58.000 --> 00:12:18.000]  موسیقی
[00:12:18.000 --> 00:12:36.000]  موسیقی
[00:12:36.000 --> 00:12:38.000]  موسیقی
[00:13:06.000 --> 00:13:35.980]  موسیقی در موسیقی
[00:13:36.000 --> 00:13:56.000]  موسیقی
[00:13:56.000 --> 00:13:58.000]  موسیقی
[00:14:26.000 --> 00:14:36.000]  موسیقی
[00:14:56.000 --> 00:15:00.000]  موسیقی
[00:15:00.000 --> 00:15:30.000]  مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مدت زیر بیشتر از مد
[00:15:30.000 --> 00:15:59.980]  موسیقی در موسیقی
