================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS (REFINED)
Source File : Session_Full_۲۰۲۶۰۸۰۵_۱۳۰۰۳۷.wav
Total Segs  : 657
================================================================================

[00:00:00.000 --> 00:06:59.980]  درسته.
[00:08:00.000 --> 00:16:59.980]  درسته.
[00:17:30.000 --> 00:22:29.980]  درسته.
[00:24:20.000 --> 00:24:49.980]  درسته.
[00:26:30.000 --> 00:26:59.980]  بله.
[00:28:30.000 --> 00:28:59.980]  درسته.
[00:29:00.000 --> 00:29:29.980]  درسته.
[00:29:58.000 --> 00:37:59.980]  درسته.
[00:38:30.000 --> 00:47:59.980]  درسته.
[00:49:48.000 --> 00:50:00.000]  باید بردارید.
[00:50:00.000 --> 00:56:59.980]  درسته.
[01:00:00.000 --> 01:00:29.980]  مطب پزشکی.
[01:00:30.000 --> 01:01:59.980]  درسته.
[01:03:00.000 --> 01:06:59.980]  درسته.
[01:08:30.000 --> 01:10:59.980]  درسته.
[01:12:52.000 --> 01:13:22.000]  اینجا باید بردارید.
[01:13:22.000 --> 01:13:28.000]  باید بردارید.
[01:14:20.000 --> 01:14:50.000]  بفرمایید.
[01:15:30.000 --> 01:15:36.000]  مشکلی نیست.
[01:15:51.000 --> 01:15:57.000]  حالتان چطور است؟
[01:15:57.000 --> 01:16:26.980]  بله.
[01:17:35.000 --> 01:18:34.980]  بله.
[01:20:26.000 --> 01:20:50.760]  سرتان را بالا بگیرید.
[01:23:20.760 --> 01:23:50.740]  درسته.
[01:23:50.760 --> 01:24:20.740]  درسته.
[01:25:00.000 --> 01:25:40.680]  امشب می‌خوام حالم بهتر بشه.
[01:26:00.000 --> 01:26:39.400]  امشب حالم خوب نیست.
[01:27:26.140 --> 01:27:37.900]  امشب می‌خوام حالم بهتر بشه.
[01:27:37.900 --> 01:27:46.820]  یک دنیا ممنون از لطف شما.
[01:27:46.820 --> 01:27:49.160]  خواهش می‌کنم.
[01:28:12.140 --> 01:28:42.120]  درسته.
[01:30:00.000 --> 01:30:56.240]  زندگی مشکلات خودش را دارد.
[01:30:56.240 --> 01:31:14.980]  زندگی دور از وطن سخت است.
[01:31:14.980 --> 01:31:18.140]  حق با شماست.
[01:32:48.640 --> 01:33:13.780]  زندگی دور از وطن مشکلات زیادی دارد.
[01:33:43.780 --> 01:34:13.760]  درسته.
[01:34:31.780 --> 01:35:00.000]  بله، همین‌طور است.
[01:36:00.000 --> 01:36:08.000]  از اینجا باید اقدام کنیم.
[01:36:28.000 --> 01:36:30.000]  مرسی ممنون، لطف کردید.
[01:36:58.000 --> 01:37:00.000]  از اینجا باید اقدام کنیم.
[01:37:00.000 --> 01:37:02.000]  از اینجا باید اقدام کنیم.
[01:37:02.000 --> 01:37:04.000]  بله.
[01:38:46.000 --> 01:38:58.540]  سلام، دکتر فرستاده گفتند داروخانه مراجعه کنید چون آسانسور خراب است.
[01:39:52.540 --> 01:39:59.980]  وضعیت بیمار چطور است؟
[01:41:17.000 --> 01:41:19.000]  سلام.
[01:42:16.000 --> 01:42:20.000]  سلام، بفرمایید داخل.
[01:43:16.000 --> 01:43:18.000]  مشکلی هست؟
