================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۱۵_۱۳۰۰۲۶.wav
Language    : fa
Total Segs  : 2807
================================================================================

[00:00:00.000 --> 00:00:10.000]  موسیقی
[00:00:30.000 --> 00:00:40.000]  موسیقی
[00:01:00.000 --> 00:01:29.980]  مرد در اینجا
[00:01:30.000 --> 00:01:32.000]  موسیقی
[00:02:00.000 --> 00:02:20.000]  موسیقی
[00:02:20.000 --> 00:02:50.000]  موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی د
[00:02:50.000 --> 00:03:19.980]  موسیقی در موسیقی درسته
[00:03:20.000 --> 00:03:50.000]  موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی د
[00:03:50.000 --> 00:04:20.000]  موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی در موسیقی د
[00:04:20.000 --> 00:04:40.000]  موسیقی
[00:04:40.000 --> 00:05:00.000]  موسیقی
[00:05:00.000 --> 00:05:29.980]  مردی بیمار
[00:05:30.000 --> 00:05:59.980]  موسیقی در موسیقی درسته
[00:06:00.000 --> 00:06:21.000]  موسیقی
[00:06:30.000 --> 00:06:32.000]  موسیقی
[00:07:00.000 --> 00:07:14.000]  موسیقی
[00:07:30.000 --> 00:07:59.980]  موسیقی در موسیقی درسته
[00:08:00.000 --> 00:08:29.980]  مردم در اینجا
[00:08:30.000 --> 00:08:40.000]  موسیقی
[00:09:00.000 --> 00:09:10.000]  موسیقی
[00:09:30.000 --> 00:09:33.660]  تنی من میتونه
[00:09:33.660 --> 00:09:38.600]  به دورتا زنده باشه
[00:09:38.600 --> 00:09:44.980]  ای که توی همه کسم
[00:09:44.980 --> 00:09:49.320]  میتون میگیر نفسم
[00:09:49.320 --> 00:09:54.020]  اگه تو رو داشته باشم
[00:09:54.020 --> 00:09:58.200]  به هرچی میخوام میرسم
[00:10:00.000 --> 00:10:20.000]  موسیقی
[00:10:30.000 --> 00:10:50.000]  موسیقی
[00:10:50.000 --> 00:10:54.000]  مسترک مورد ندار داخل موقع ندار.
[00:10:54.000 --> 00:10:56.000]  با اینکه نتابع در منید.
[00:10:56.000 --> 00:10:58.000]  در صبت باید مورد که زن ندار.
[00:10:58.000 --> 00:11:00.000]  دیگه باید.
[00:11:20.000 --> 00:11:26.000]  موسیقی
[00:11:50.000 --> 00:12:00.000]  موسیقی
[00:12:20.000 --> 00:12:49.980]  موسیقی در موسیقی
[00:12:50.000 --> 00:12:54.620]  من میرسه هر چی که جاد است
[00:12:54.620 --> 00:13:00.460]  روزمی به سیره من میرسه
[00:13:00.460 --> 00:13:07.000]  منی که توی همه کسان
[00:13:07.760 --> 00:13:11.880]  بی تو میگیره نقصان
[00:13:11.880 --> 00:13:17.000]  اگه تو رو داشته باشم
[00:13:17.000 --> 00:13:39.000]  موسیقی
[00:13:39.000 --> 00:13:44.000]  مشترک مورد نفر در حال مکانه ماست. لطفاً منتظر دوانید.
[00:13:44.000 --> 00:13:47.000]  اینجا باید بردارید. باید توقیم دارید.
[00:14:09.000 --> 00:14:38.980]  موسیقی در موسیقی درسته
[00:14:39.000 --> 00:15:00.000]  موسیقی
[00:15:00.000 --> 00:15:29.980]  موسیقی در مطب پزشکی
[00:15:30.000 --> 00:15:59.980]  موسیقی در موسیقی درسته
[00:16:00.000 --> 00:16:29.980]  موسیقی در موسیقی درسته
[00:16:30.000 --> 00:16:59.980]  موسیقی در موسیقی درسته
[00:17:00.000 --> 00:17:29.980]  موسیقی در موسیقی درسته
[00:17:30.000 --> 00:17:59.980]  موسیقی در موسیقی درسته
[00:18:00.000 --> 00:18:29.980]  موسیقی در موسیقی درسته
[00:18:30.000 --> 00:18:59.980]  موسیقی در موسیقی درسته
[00:19:00.000 --> 00:19:29.980]  موسیقی در موسیقی درسته
[00:19:30.000 --> 00:19:59.980]  موسیقی در موسیقی درسته
[00:20:00.000 --> 00:20:29.980]  موسیقی در مطب پزشکی
[00:20:30.000 --> 00:20:59.980]  موسیقی در موسیقی درسته
[00:21:00.000 --> 00:21:29.980]  مردم در اینجا
[00:21:30.000 --> 00:21:59.980]  موسیقی در موسیقی درسته
[00:22:00.000 --> 00:22:29.980]  موسیقی در موسیقی درسته
[00:22:30.000 --> 00:22:59.980]  موسیقی در موسیقی درسته
[00:23:00.000 --> 00:23:29.980]  موسیقی در موسیقی درسته
[00:23:30.000 --> 00:23:59.980]  موسیقی در موسیقی درسته
[00:24:00.000 --> 00:24:29.980]  موسیقی در موسیقی درسته
[00:24:30.000 --> 00:24:59.980]  موسیقی در موسیقی درسته
[00:25:00.000 --> 00:25:29.980]  موسیقی در مطب پزشکی
[00:25:30.000 --> 00:25:59.980]  موسیقی در موسیقی درسته
[00:26:00.000 --> 00:26:29.980]  موسیقی در موسیقی دیگر
[00:26:30.000 --> 00:26:59.980]  موسیقی در موسیقی درسته
[00:27:00.000 --> 00:27:29.980]  موسیقی در موسیقی درسته
[00:27:30.000 --> 00:27:59.980]  موسیقی در موسیقی درسته
[00:28:00.000 --> 00:28:29.980]  موسیقی در موسیقی درسته
[00:28:30.000 --> 00:28:59.980]  موسیقی در موسیقی درسته
[00:29:00.000 --> 00:29:29.980]  موسیقی در موسیقی درسته
[00:29:30.000 --> 00:29:59.980]  موسیقی در موسیقی درسته
[00:30:00.000 --> 00:30:29.980]  موسیقی در مطب پزشکی
[00:30:30.000 --> 00:30:59.980]  موسیقی در موسیقی درسته
[00:31:00.000 --> 00:31:29.980]  موسیقی در موسیقی درسته
[00:31:30.000 --> 00:31:59.980]  موسیقی در موسیقی درسته
[00:32:00.000 --> 00:32:29.980]  موسیقی در موسیقی درسته
[00:32:30.000 --> 00:32:59.980]  موسیقی در موسیقی درسته
[00:33:00.000 --> 00:33:29.980]  موسیقی در موسیقی درسته
[00:33:30.000 --> 00:33:59.980]  موسیقی در موسیقی درسته
