================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS
Source File : Session_Full_۲۰۲۶۰۸۱۸_۱۳۰۰۳۳.wav
Language    : fa
Total Segs  : 3898
================================================================================

[00:00:00.000 --> 00:00:03.860]  اوشتر شمیده کالتی است.
[00:00:30.000 --> 00:01:00.000]  بخش ۲۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰۰�
[00:01:00.000 --> 00:01:02.000]  مردم در اینجا باید بردارید.
[00:01:02.000 --> 00:01:04.000]  اینجا باید بردارید.
[00:01:04.000 --> 00:01:06.000]  اینجا باید بردارید.
[00:01:06.000 --> 00:01:08.000]  اینجا باید بردارید.
[00:01:08.000 --> 00:01:10.000]  چند دست هم دست مانند؟
[00:01:10.000 --> 00:01:12.000]  چند دست هم دست مانند؟
[00:01:12.000 --> 00:01:14.000]  نیمونه بود.
[00:01:14.000 --> 00:01:16.000]  نیمونه بود.
[00:01:16.000 --> 00:01:18.000]  نیمونه بود.
[00:01:18.000 --> 00:01:20.000]  نیمونه بود.
[00:01:20.000 --> 00:01:22.000]  نیمونه بود.
[00:01:22.000 --> 00:01:24.000]  نیمونه بود.
[00:01:24.000 --> 00:01:26.000]  نیمونه بود.
[00:01:26.000 --> 00:01:28.000]  نیمونه بود.
[00:01:28.000 --> 00:01:32.000]  از اینجا باید بردارید که این روز همه درست کنید.
[00:01:32.000 --> 00:01:34.000]  این روز همه درست کنید.
[00:01:34.000 --> 00:01:36.000]  این روز همه درست کنید.
[00:01:36.000 --> 00:01:38.000]  این روز همه درست کنید.
[00:01:38.000 --> 00:01:40.000]  این روز همه درست کنید.
[00:01:40.000 --> 00:01:42.000]  این روز همه درست کنید.
[00:01:42.000 --> 00:01:44.000]  این روز همه درست کنید.
[00:01:44.000 --> 00:01:46.000]  این روز همه درست کنید.
[00:01:46.000 --> 00:01:48.000]  این روز همه درست کنید.
[00:01:48.000 --> 00:01:50.000]  این روز همه درست کنید.
[00:01:50.000 --> 00:01:52.000]  این روز همه درست کنید.
[00:01:52.000 --> 00:01:54.000]  من از هستم بیرون که کشم را خودت
[00:01:56.000 --> 00:01:58.000]  بیرون خودت بیرون شیر بزرگ باشم
[00:01:58.000 --> 00:02:00.000]  نه بیرون خودت بزرگ باشم
[00:02:00.000 --> 00:02:02.000]  من که سر بازم
[00:02:02.000 --> 00:02:04.000]  خیلی گردیم
[00:02:04.000 --> 00:02:06.000]  از من بیرون
[00:02:06.000 --> 00:02:08.000]  خیلی بشم
[00:02:08.000 --> 00:02:10.000]  خیلی بشم
[00:02:10.000 --> 00:02:12.000]  من که سن برم
[00:02:12.000 --> 00:02:14.000]  کمان بیرون کشم باشم
[00:02:14.000 --> 00:02:16.000]  من خورم شباب باشم
[00:02:16.000 --> 00:02:18.000]  من خورم شباب باشم
[00:02:18.000 --> 00:02:20.000]  من از خانده درم خواهد برم
[00:02:20.000 --> 00:02:22.000]  باید برمی آمدید.
[00:02:25.000 --> 00:02:27.000]  همچنین باید برمی آمدید.
[00:02:27.000 --> 00:02:29.000]  خوش خوزنگی که شما برده بود.
[00:02:29.000 --> 00:02:31.000]  خوش خوزنگی.
[00:02:41.000 --> 00:02:46.000]  خواهد هرمه ساعتون را بسیار دیگه میبونیم با سطح برمی.
[00:02:46.000 --> 00:02:48.000]  خدا که شیره را ای خواست داریم.
[00:02:48.000 --> 00:02:53.000]  می کنیم این برگم هستنده که همین شویی بیخونده بود برای ما.
[00:02:53.000 --> 00:02:57.000]  بابا نه از اینجا بابا نه نمیشه میرم.
[00:02:57.000 --> 00:02:59.000]  نه.
[00:02:59.000 --> 00:03:01.000]  یه گنیایی.
[00:03:01.000 --> 00:03:03.000]  گنیایی.
[00:03:03.000 --> 00:03:05.000]  که در یه درگاه میرم.
[00:03:05.000 --> 00:03:07.000]  که باید با من که شیر کنیم.
[00:03:07.000 --> 00:03:09.000]  آزیان دارید هم یه سوره؟
[00:03:09.000 --> 00:03:11.000]  نه.
[00:03:11.000 --> 00:03:13.000]  نه.
[00:03:13.000 --> 00:03:15.000]  یه را درگاه باشید؟
[00:03:15.000 --> 00:03:17.000]  آزیان باشم.
[00:03:17.000 --> 00:03:19.000]  آزیان باشم.
[00:03:19.000 --> 00:03:22.660]  این بوده ایه، بیشتر خیلی گره هم، آفده رو درده
[00:03:22.660 --> 00:03:26.500]  کلا از توی شهر منظم بخواه خیلی نیستون
[00:03:26.500 --> 00:03:31.500]  من خدا خوره درده، پنجه پنجه بیشتر نزده میزنم خواه
[00:03:31.500 --> 00:03:34.000]  کذابت یا خوشش شما
[00:03:34.000 --> 00:03:36.000]  چون من دستا بگویم درده باید
[00:03:36.000 --> 00:03:38.000]  یا خسید آرامون، همین
[00:03:38.000 --> 00:03:40.000]  دست نده آواز میزن
[00:03:40.000 --> 00:03:42.000]  باید تونه، آواز نیست
[00:03:42.000 --> 00:03:45.000]  بویم از چه تیران تر بگیر، باید گذارم اون سوگه
[00:03:45.000 --> 00:03:52.000]  خانشه خیلی بزرگه اید. میره اون برای میشنه. من خانشه خیلی بزرگه اید.
[00:03:52.000 --> 00:03:55.000]  خیلی بزرگه اید.
[00:03:55.000 --> 00:03:57.000]  خیلی نمیشه بزرگه اید.
[00:03:57.000 --> 00:03:59.000]  نیستی ها درخ نمی کنن.
[00:03:59.000 --> 00:04:03.000]  سرارا برای زرگه بزرگه نمیشه.
[00:04:03.000 --> 00:04:05.000]  نیستی ها درخون سازشونه.
[00:04:05.000 --> 00:04:07.000]  سازشونه.
[00:04:07.000 --> 00:04:09.000]  نیستی بازشونه بشنه.
[00:04:09.000 --> 00:04:11.000]  نیستی بازشونه.
[00:04:11.000 --> 00:04:41.000]  اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید که اینجا باید بردارید ک
[00:04:41.000 --> 00:05:00.000]  موسیقی
[00:05:00.000 --> 00:05:30.000]  از این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات، با این حالات
[00:05:30.000 --> 00:05:32.000]  این سطح دیگه بیشتر است.
[00:05:32.000 --> 00:05:34.000]  این سطح دیگه بیشتر است.
[00:05:34.000 --> 00:05:36.000]  این سطح دیگه بیشتر است.
[00:05:36.000 --> 00:05:38.000]  این سطح دیگه بیشتر است.
[00:05:38.000 --> 00:05:40.000]  این سطح دیگه بیشتر است.
[00:05:40.000 --> 00:05:42.000]  این سطح دیگه بیشتر است.
[00:05:42.000 --> 00:05:44.000]  این سطح دیگه بیشتر است.
[00:05:44.000 --> 00:05:46.000]  این سطح دیگه بیشتر است.
[00:05:46.000 --> 00:05:48.000]  این سطح دیگه بیشتر است.
[00:05:48.000 --> 00:05:50.000]  این سطح دیگه بیشتر است.
[00:05:50.000 --> 00:05:52.000]  این سطح دیگه بیشتر است.
[00:05:52.000 --> 00:05:54.000]  این سطح دیگه بیشتر است.
[00:06:24.000 --> 00:06:26.000]  با همین این استفاده شد
[00:06:26.000 --> 00:06:28.000]  با همین این استفاده شد
[00:06:28.000 --> 00:06:30.000]  با همین این استفاده شد
[00:06:54.000 --> 00:07:23.980]  برای اینجا
[00:07:24.000 --> 00:07:53.980]  مردم در اینجا
[00:07:54.000 --> 00:07:56.000]  از اینجا باید بردارید.
[00:07:56.000 --> 00:07:58.000]  اینجا باید بردارید.
[00:07:58.000 --> 00:08:00.000]  اینجا باید بردارید.
[00:08:00.000 --> 00:08:02.000]  اینجا باید بردارید.
[00:08:02.000 --> 00:08:04.000]  اینجا باید بردارید.
[00:08:04.000 --> 00:08:06.000]  اینجا باید بردارید.
[00:08:06.000 --> 00:08:08.000]  اینجا باید بردارید.
[00:08:08.000 --> 00:08:10.000]  اینجا باید بردارید.
[00:08:10.000 --> 00:08:12.000]  اینجا باید بردارید.
[00:08:12.000 --> 00:08:14.000]  اینجا باید بردارید.
[00:08:14.000 --> 00:08:16.000]  اینجا باید بردارید.
[00:08:16.000 --> 00:08:18.000]  اینجا باید بردارید.
[00:08:18.000 --> 00:08:20.000]  اینجا باید بردارید.
[00:08:20.000 --> 00:08:22.000]  خود را بیشتر می شوند.
[00:08:22.000 --> 00:08:23.240]  اینجا،
[00:08:23.240 --> 00:08:25.760]  این باز هست که ما هر حال داریم.
[00:08:25.760 --> 00:08:27.500]  خود را بیشتر می کنیم.
[00:08:27.500 --> 00:08:31.500]  این باز هست که خوش پیار و سعن هم می کنیم.
[00:08:31.500 --> 00:08:35.500]  من خودمون گنجرم
[00:08:35.500 --> 00:08:41.500]  یه گوتره رو بزنم که جایقه ایده همچین شنسه
[00:08:41.500 --> 00:08:45.500]  من همین سراب بازی گویستم
[00:08:45.500 --> 00:08:49.500]  یه این باید باید میشم
[00:08:49.500 --> 00:08:53.500]  که همه سرابی داشت
[00:08:53.500 --> 00:08:57.500]  شرکت ای باشد
[00:08:57.500 --> 00:09:27.480]  موسیقی در موسیقی درسته
[00:09:27.500 --> 00:09:29.500]  اینجا همه چیزی سرگرد می کنید.
[00:09:29.500 --> 00:09:31.500]  اینجا همه چیزی سرگرد می کنید.
[00:09:31.500 --> 00:09:33.500]  اینجا همه چیزی سرگرد می کنید.
[00:09:33.500 --> 00:09:35.500]  اینجا همه چیزی سرگرد می کنید.
[00:09:35.500 --> 00:09:37.500]  اینجا همه چیزی سرگرد می کنید.
[00:09:37.500 --> 00:09:39.500]  اینجا همه چیزی سرگرد می کنید.
[00:09:39.500 --> 00:09:41.500]  اینجا همه چیزی سرگرد می کنید.
[00:09:41.500 --> 00:09:43.500]  اینجا همه چیزی سرگرد می کنید.
[00:09:43.500 --> 00:09:45.500]  اینجا همه چیزی سرگرد می کنید.
[00:10:00.000 --> 00:10:08.000]  من نه سرگزیم، آقایی چهانه از سرگزیم. گفتگو زیر رفت اینجا نیست.
[00:10:08.000 --> 00:10:12.000]  من نجابت بودم، از پشتی بودم.
[00:10:12.000 --> 00:10:16.000]  آقا هم پسر من بود.
[00:10:16.000 --> 00:10:20.000]  اینجا در بشت، پسر خواهش بود.
[00:10:20.000 --> 00:10:24.000]  اینجا شیده بود، اینجا آمد بیرونت، سرگز بود، برای اینجا شو برده بود.
[00:10:24.000 --> 00:10:54.000]  نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، ن
[00:10:54.000 --> 00:11:01.000]  این کادر را دید دوشمان مثل زندگی، برلا او خواهد دارد وشنجی می آمید.
[00:11:01.000 --> 00:11:04.000]  او فنا دارد و او فنا را دارد و دارد وشنجی می آمید.
[00:11:04.000 --> 00:11:09.000]  او بیشتر شادی می آمید.
[00:11:09.000 --> 00:11:13.000]  او بیشتر شادی می آمید.
[00:11:13.000 --> 00:11:15.000]  ۳۳ ساله باز کردم.
[00:11:15.000 --> 00:11:19.000]  از گرم از کرونا مادرم بود کردی.
[00:11:19.000 --> 00:11:22.000]  پایان مادرم میگرد نیست دارد.
[00:11:22.000 --> 00:11:26.000]  مادرم شکر کرد از کرونا بود کردی.
[00:11:26.000 --> 00:11:30.000]  الان میگردم.
[00:11:30.000 --> 00:11:33.000]  ۱۰ ساله باز کردم.
[00:11:33.000 --> 00:11:45.000]  این همه چیزایی کاری می کرده ایم. داره که هران نوزه بازم.
[00:11:45.000 --> 00:11:51.000]  این چیزی ها دیگر نمازم. هنگشن برد. چار در خواهر سنه برد.
[00:11:51.000 --> 00:11:58.000]  گفتیم اینکه مادر من این کلاس بیریکرد دوست من نرکتم در منی دیگر ساتمون.
[00:11:58.000 --> 00:12:00.000]  و این روشنی بهترین اون سوال.
[00:12:00.000 --> 00:12:01.500]  می گیرند.
[00:12:01.500 --> 00:12:03.000]  این پسراتی رو می کلیدند و می روید.
[00:12:03.000 --> 00:12:04.500]  و بیرون کار دید.
[00:12:04.500 --> 00:12:07.500]  آخرون اون تقاضی بود من خستش در مرشد مانده.
[00:12:07.500 --> 00:12:09.000]  و در این سال در این مرشد،
[00:12:09.000 --> 00:12:10.500]  یه احساس بود.
[00:12:10.500 --> 00:12:12.500]  من از این رو دارم.
[00:12:12.500 --> 00:12:14.000]  الان از این سال دیدم.
[00:12:14.000 --> 00:12:16.000]  شخص من کاریست کاریست.
[00:12:16.000 --> 00:12:18.000]  ولی از سورت من خودتان نمی بودم.
[00:12:18.000 --> 00:12:19.000]  من خواهید این هر رو دادم.
[00:12:19.000 --> 00:12:20.500]  خواهید این رو دادم.
