================================================================================
OPENAI WHISPER SPEECH-TO-TEXT WITH TIMESTAMPS (REFINED)
Source File : Session_Full_۲۰۲۶۰۸۱۰_۱۳۰۰۰۰.wav
Total Segs  : 323
================================================================================

[00:00:00.000 --> 00:00:29.980]  [موسیقی متن در مطب پزشکی]
[00:04:04.000 --> 00:04:12.000]  موارد بیشتری باید بررسی شود. باید بررسی شود.
[00:05:00.000 --> 00:05:29.980]  [موسیقی متن در مطب پزشکی]
[00:06:00.000 --> 00:06:06.000]  اینجا باید بررسی کنید.
[00:07:02.000 --> 00:07:32.000]  اینجا باید بررسی کنید که...
[00:07:52.000 --> 00:07:56.000]  بررسی نکردم.
[00:07:56.000 --> 00:07:58.000]  [موسیقی متن در مطب پزشکی]
[00:08:50.000 --> 00:09:02.000]  حال عمومی خوبی دارم، اونجا باید شما برگردین اینکه دستور داده بودید. چرا دستور داده بودید؟
[00:09:14.000 --> 00:09:44.000]  این کار را برای این انجام دادیم.
[00:10:00.000 --> 00:10:30.000]  باید بررسی شود.
[00:10:56.000 --> 00:11:26.000]  این موارد باید بررسی شود.
[00:12:26.000 --> 00:12:56.000]  اینجا باید بررسی شود.
[00:13:16.000 --> 00:14:16.000]  [موسیقی متن در مطب پزشکی]
[00:15:00.000 --> 00:15:29.980]  [موسیقی متن در مطب پزشکی]
[00:16:00.000 --> 00:16:29.980]  [موسیقی متن]
[00:17:00.000 --> 00:17:10.000]  این کار در اینجا ربطی نداره، دوباره باشه.
[00:17:28.000 --> 00:17:34.000]  ان‌شاءالله.
[00:17:56.000 --> 00:18:25.980]  درسته.
[00:18:56.000 --> 00:19:04.000]  این مورد را باید بررسی کنید.
[00:19:26.000 --> 00:19:28.000]  این موارد را اینجا باید بررسی کنید.
[00:19:28.000 --> 00:19:32.000]  این موارد را اینجا باید بررسی کنید.
[00:20:00.000 --> 00:20:02.000]  این مسئله را باید بررسی کنید.
[00:22:00.000 --> 00:22:12.000]  اینجا با چند پرده گره روی تراکت کار کنید، برای اون باید پیگیری بشه و وضعیت خود را کنترل کند...
[00:22:12.000 --> 00:22:17.000]  اینجا بیار همین که میاد که جا برده بود برای این همون...
[00:22:17.000 --> 00:22:25.000]  وضعیت خود را کنترل کند... اینجا با سه تا شربت که یک تراکت نداشت.
[00:25:00.000 --> 00:34:29.980]  باید بررسی شود که این موارد بیشتر نیاز است. [موسیقی متن در مطب پزشکی]
[00:35:00.000 --> 00:36:29.980]  [موسیقی متن در مطب پزشکی]
[00:36:50.000 --> 00:36:52.000]  بفرمایید.
[00:37:20.000 --> 00:39:19.980]  [موسیقی متن در مطب پزشکی]
[00:40:00.000 --> 00:48:59.980]  [موسیقی متن در مطب پزشکی]
[00:49:58.000 --> 00:50:00.000]  بفرمایید.
[00:50:00.000 --> 00:50:29.980]  [موسیقی متن در مطب پزشکی]
[00:51:50.000 --> 00:54:49.980]  [موسیقی متن]
[00:55:00.000 --> 01:01:29.980]  [موسیقی متن در مطب پزشکی]
[01:02:26.000 --> 01:02:55.980]  [موسیقی متن]
[01:02:56.000 --> 01:03:25.980]  [موسیقی متن]
[01:05:00.000 --> 01:05:29.980]  [موسیقی متن در مطب پزشکی]
